num_date_time,answer
1 2020-08-25 00,8475.312211735445
1 2020-08-25 01,8441.784509672669
1 2020-08-25 02,8414.890894262437
1 2020-08-25 03,8437.003829780208
1 2020-08-25 04,8437.003829780208
1 2020-08-25 05,8438.268310829855
1 2020-08-25 06,8586.300486570148
1 2020-08-25 07,8594.468686444305
1 2020-08-25 08,8587.701739145728
1 2020-08-25 09,8504.703542350433
1 2020-08-25 10,8597.251962613313
1 2020-08-25 11,8597.79541418723
1 2020-08-25 12,8634.894118316612
1 2020-08-25 13,8642.216819064852
1 2020-08-25 14,8642.216819064852
1 2020-08-25 15,8695.69872691531
1 2020-08-25 16,8702.76756795892
1 2020-08-25 17,8682.52373165332
1 2020-08-25 18,8589.357651349854
1 2020-08-25 19,8584.447308133556
1 2020-08-25 20,8585.008337003685
1 2020-08-25 21,8565.03306445539
1 2020-08-25 22,8526.241654217989
1 2020-08-25 23,8514.463259121314
1 2020-08-26 00,8490.997182127707
1 2020-08-26 01,8457.46948006493
1 2020-08-26 02,8430.575864654698
1 2020-08-26 03,8419.130624304897
1 2020-08-26 04,8419.130624304897
1 2020-08-26 05,8420.395105354544
1 2020-08-26 06,8595.373146004547
1 2020-08-26 07,8603.541345878704
1 2020-08-26 08,8598.807796671508
1 2020-08-26 09,8527.778677656648
1 2020-08-26 10,8620.327097919528
1 2020-08-26 11,8620.870549493446
1 2020-08-26 12,8650.868823103312
1 2020-08-26 13,8666.381438059812
1 2020-08-26 14,8666.381438059812
1 2020-08-26 15,8666.381438059812
1 2020-08-26 16,8673.450279103421
1 2020-08-26 17,8653.206442797822
1 2020-08-26 18,8614.034012290655
1 2020-08-26 19,8609.123669074357
1 2020-08-26 20,8609.684697944485
1 2020-08-26 21,8499.235951279728
1 2020-08-26 22,8454.66256281457
1 2020-08-26 23,8438.074489024604
1 2020-08-27 00,8510.254939880784
1 2020-08-27 01,8476.727237818008
1 2020-08-27 02,8449.833622407776
1 2020-08-27 03,8559.929887757879
1 2020-08-27 04,8559.929887757879
1 2020-08-27 05,8561.194368807526
1 2020-08-27 06,8550.637702639802
1 2020-08-27 07,8550.097970271061
1 2020-08-27 08,8552.66149599735
1 2020-08-27 09,8648.336710674903
1 2020-08-27 10,8740.885130937782
1 2020-08-27 11,8741.4285825117
1 2020-08-27 12,8795.150507887947
1 2020-08-27 13,8791.902093396806
1 2020-08-27 14,8791.902093396806
1 2020-08-27 15,8786.683703273142
1 2020-08-27 16,8793.75254431675
1 2020-08-27 17,8748.572298377261
1 2020-08-27 18,8687.773413129551
1 2020-08-27 19,8682.863069913254
1 2020-08-27 20,8683.424098783382
1 2020-08-27 21,8705.860213029855
1 2020-08-27 22,8659.95362406357
1 2020-08-27 23,8646.77138948428
1 2020-08-28 00,8700.3668296134
1 2020-08-28 01,8659.794573017805
1 2020-08-28 02,8628.370312690076
1 2020-08-28 03,8621.042424662775
1 2020-08-28 04,8621.042424662775
1 2020-08-28 05,8622.306905712423
1 2020-08-28 06,8543.37365923116
1 2020-08-28 07,8556.216404789171
1 2020-08-28 08,8553.04687223345
1 2020-08-28 09,8696.028976085654
1 2020-08-28 10,8788.577396348534
1 2020-08-28 11,8789.120847922452
1 2020-08-28 12,8701.897087328132
1 2020-08-28 13,8717.409702284633
1 2020-08-28 14,8717.409702284633
1 2020-08-28 15,8755.631161662881
1 2020-08-28 16,8762.70000270649
1 2020-08-28 17,8717.519756767
1 2020-08-28 18,8746.37949410793
1 2020-08-28 19,8741.469150891633
1 2020-08-28 20,8742.030179761761
1 2020-08-28 21,8701.565593214287
1 2020-08-28 22,8655.659004248002
1 2020-08-28 23,8648.378185127614
1 2020-08-29 00,8635.297098585006
1 2020-08-29 01,8604.096744660443
1 2020-08-29 02,8574.1403528909
1 2020-08-29 03,8572.516296854503
1 2020-08-29 04,8572.516296854503
1 2020-08-29 05,8573.78077790415
1 2020-08-29 06,8627.770733762381
1 2020-08-29 07,8643.566474675612
1 2020-08-29 08,8640.39694211989
1 2020-08-29 09,8669.112534792186
1 2020-08-29 10,8778.413191546018
1 2020-08-29 11,8778.956643119936
1 2020-08-29 12,8814.820184241556
1 2020-08-29 13,8810.603303505855
1 2020-08-29 14,8810.603303505855
1 2020-08-29 15,8810.377092656436
1 2020-08-29 16,8817.445933700044
1 2020-08-29 17,8754.622511475796
1 2020-08-29 18,8761.971259367021
1 2020-08-29 19,8757.060916150724
1 2020-08-29 20,8757.621945020852
1 2020-08-29 21,8708.017184078035
1 2020-08-29 22,8659.053581198996
1 2020-08-29 23,8651.772762078608
1 2020-08-30 00,8570.122413495917
1 2020-08-30 01,8530.904758240216
1 2020-08-30 02,8499.480497912487
1 2020-08-30 03,8496.512718082238
1 2020-08-30 04,8496.512718082238
1 2020-08-30 05,8497.777199131886
1 2020-08-30 06,8555.847185678347
1 2020-08-30 07,8571.642926591578
1 2020-08-30 08,8568.473394035856
1 2020-08-30 09,8576.509650657541
1 2020-08-30 10,8684.45570607148
1 2020-08-30 11,8684.999157645398
1 2020-08-30 12,8830.884301591399
1 2020-08-30 13,8820.54110459458
1 2020-08-30 14,8820.54110459458
1 2020-08-30 15,8897.64639771119
1 2020-08-30 16,8904.7152387548
1 2020-08-30 17,8841.891816530551
1 2020-08-30 18,8761.555538607494
1 2020-08-30 19,8756.645195391196
1 2020-08-30 20,8757.206224261325
1 2020-08-30 21,8681.85836225348
1 2020-08-30 22,8632.894759374441
1 2020-08-30 23,8620.804261560763
1 2020-08-31 00,8673.474840564322
1 2020-08-31 01,8632.902583968727
1 2020-08-31 02,8601.478323640998
1 2020-08-31 03,8577.144026211929
1 2020-08-31 04,8577.144026211929
1 2020-08-31 05,8578.408507261576
1 2020-08-31 06,8625.538380421118
1 2020-08-31 07,8641.334121334348
1 2020-08-31 08,8635.99356490402
1 2020-08-31 09,8698.440233150362
1 2020-08-31 10,8809.208758462382
1 2020-08-31 11,8809.7522100363
1 2020-08-31 12,8856.765325123772
1 2020-08-31 13,8846.422128126953
1 2020-08-31 14,8846.422128126953
1 2020-08-31 15,8835.875975245901
1 2020-08-31 16,8842.94481628951
1 2020-08-31 17,8774.486085278691
1 2020-08-31 18,8727.985559816285
1 2020-08-31 19,8723.075216599987
1 2020-08-31 20,8723.636245470116
1 2020-08-31 21,8721.639303313932
1 2020-08-31 22,8672.675700434893
1 2020-08-31 23,8652.69988703723
2 2020-08-25 00,1182.5779161076337
2 2020-08-25 01,1051.955333035676
2 2020-08-25 02,1023.213151684766
2 2020-08-25 03,1137.0555879844746
2 2020-08-25 04,1025.4836068027332
2 2020-08-25 05,1026.7480878523818
2 2020-08-25 06,1170.0193764342919
2 2020-08-25 07,1210.3196912060555
2 2020-08-25 08,1330.1728134691407
2 2020-08-25 09,1744.2301626265303
2 2020-08-25 10,1491.668822285194
2 2020-08-25 11,1492.2122738591104
2 2020-08-25 12,1839.3175148077862
2 2020-08-25 13,1592.8825105137007
2 2020-08-25 14,1592.8825105137007
2 2020-08-25 15,1744.3298698861786
2 2020-08-25 16,1489.5332464863036
2 2020-08-25 17,1479.6130309644486
2 2020-08-25 18,1533.5639718911075
2 2020-08-25 19,1291.334950686122
2 2020-08-25 20,1253.616583649248
2 2020-08-25 21,1179.8373797961617
2 2020-08-25 22,1063.0944871453914
2 2020-08-25 23,1047.902926106541
2 2020-08-26 00,1117.3454871618737
2 2020-08-26 01,972.9714775374463
2 2020-08-26 02,946.0778621272111
2 2020-08-26 03,1162.8323932666844
2 2020-08-26 04,1040.835206438791
