code,num
C1003,282.5725073120833
C1006,367.4329008752901
C1016,756.8221454318018
C1019,301.13933896210835
C1030,72.36216856155436
C1038,307.7219042695739
C1040,424.5032120146131
C1060,638.6499113555857
C1064,613.4314486260068
C1071,480.5042890088173
C1072,764.8832554845242
C1083,391.1991436737633
C1105,995.0135495618852
C1128,1308.9779662801204
C1135,244.11951404091587
C1147,793.6227319969272
C1149,562.4061858712902
C1152,884.6831360960841
C1158,297.42870778785567
C1166,332.3915863239023
C1189,282.5815605435361
C1215,663.1219308233228
C1216,318.4997728575635
C1225,129.97854117951346
C1229,261.7568112191117
C1239,386.90459260272723
C1250,797.5383820020467
C1253,709.205280296389
C1266,411.85716315407353
C1267,385.30559087045333
C1282,616.0110434012372
C1289,386.36938546072827
C1294,510.881774373503
C1297,553.5945529124419
C1311,234.3019619506556
C1318,202.65352001503695
C1323,405.3904527783923
C1327,71.87030540848326
C1332,1101.3922805845607
C1349,341.90610698536943
C1377,295.3557280960905
C1392,575.6263079612723
C1414,541.6613119232362
C1416,746.0739265519705
C1456,558.9035606168597
C1457,571.8756715764987
C1472,510.09885409915137
C1474,112.45393327635244
C1494,1008.9310672403892
C1495,823.4179065088722
C1496,748.2240803287651
C1521,950.2686630498247
C1525,1081.5062646521455
C1563,1567.229005519237
C1564,330.10045334793466
C1570,647.6594180332781
C1593,245.65065417110418
C1602,366.48356448984424
C1603,442.95950002160754
C1604,475.08468017969847
C1617,867.626281697103
C1621,566.3267526071204
C1623,303.1636939857816
C1629,112.41546024032196
C1633,166.08269314267966
C1637,419.13457562597705
C1640,490.934979358027
C1683,234.48084121288377
C1692,814.0745419359902
C1708,277.63532692202403
C1712,619.2375474646371
C1721,649.2728024606388
C1729,118.0074940662138
C1741,464.4946556499761
C1749,515.8320996252655
C1772,527.744056812173
C1782,456.67989670780776
C1794,813.6827816087557
C1812,203.7762395636301
C1826,258.3865172932875
C1827,438.51805758072476
C1830,897.8734318629286
C1835,819.7711139103551
C1840,575.1223078743784
C1841,143.1521763799373
C1844,389.2162214300304
C1849,737.6967849926507
C1852,854.9176387592507
C1855,311.8045624217776
C1887,570.8886123721975
C1902,882.802236752268
C2028,1139.120820683236
C2033,231.2387416021997
C2039,923.3827661922201
C2043,249.69305305339952
C2072,238.395767527598
C2076,919.4135590185275
C2091,119.15123948675092
C2112,346.9953850726057
C2113,462.3649429303209
C2128,305.4965539095207
C2131,547.6609529043534
C2144,477.285330050655
C2152,63.6492416814318
C2174,479.0754806962827
C2175,903.4145540230634
C2177,150.73449666526932
C2189,219.97252198989062
C2215,393.8401904335697
C2222,398.8269186014582
C2224,922.4464337434233
C2253,97.45562908420088
C2267,719.5383032038237
C2268,438.7173468200931
C2269,633.4860277373276
C2292,732.8411423867847
C2295,467.36263973545203
C2303,1434.5182178335401
C2318,218.04171848328332
C2323,606.297645074906
C2335,541.3578259424561
C2363,466.50179598653705
C2369,701.4498053318001
C2374,377.8124200393307
C2397,566.3115457991884
C2404,96.75117525099633
C2411,703.3146454839635
C2417,448.46577100315375
C2423,125.95050433372695
C2430,842.8767902497691
C2436,725.1753126183071
C2451,571.038370938291
C2456,209.51815729478446
C2473,1046.5705538415393
C2497,721.5186375390402
C2523,279.19382770473203
C2535,525.1156823489833
C2547,597.7646388480183
C2551,589.3711798510443
C2555,1113.4621806346279
C2557,795.5943681367794
C2600,480.49853820616033
C2602,256.80138200781283
C2608,895.8567195282836
C2646,501.40972715069177
C2653,785.3776097347251
C2675,1047.3615439321843
C2676,310.66449366169417
C2688,76.48439268974926
C2691,1159.8856415495295
